Record_ID,Calling_Agents,Calling_Agents_Description
27,"%5BFBAN/FB4A;FBAV/231.0.0.39.113;FBBV/163964775;FBDM/%7Bdensity=2.0,width=720,height=1344%7D;FBLC/en_US;FBRV/0;FBCR/Vodafone%20IN;FBMF/Innovatech;FBBD/JIVI;FBPN/com.facebook.katana;FBDV/Opus%20S3;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 231
28,"%5BFBAN/FB4A;FBAV/233.0.0.36.117;FBBV/166104922;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/167540259;FBCR/Vodafone;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/A37f;FBSV/5.1.1;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 233 on Oppo A37F
29,"%5BFBAN/FB4A;FBAV/233.0.0.36.117;FBBV/166104954;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_US;FBRV/167496580;FBCR/airtel;FBMF/HMD%20Global;FBBD/Nokia;FBPN/com.facebook.katana;FBDV/TA-1032;FBSV/8.0.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 233 on Nokia
30,"%5BFBAN/FB4A;FBAV/233.0.0.36.117;FBBV/166104954;FBDM/%7Bdensity=2.0,width=720,height=1384%7D;FBLC/en_GB;FBRV/0;FBCR/Jio%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J600G;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 233 on Samsung SM-J600G
31,"%5BFBAN/FB4A;FBAV/236.0.0.40.117;FBBV/169421925;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_US;FBRV/0;FBCR/Vodafone%20IN;FBMF/Xiaomi;FBBD/Xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%205A;FBSV/7.1.2;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 236 on Redmi
32,"%5BFBAN/FB4A;FBAV/236.0.0.40.117;FBBV/169421994;FBDM/%7Bdensity=2.75,width=1080,height=2131%7D;FBLC/en_US;FBRV/171065420;FBCR/Vi%20India;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%207S;FBSV/9;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 236 on Redmi
33,"%5BFBAN/FB4A;FBAV/237.0.0.44.120;FBBV/170693382;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/bn_IN;FBRV/0;FBCR/Jio%204G;FBMF/GiONEE;FBBD/GiONEE;FBPN/com.facebook.katana;FBDV/M5_lite;FBSV/5.1;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 237
34,"%5BFBAN/FB4A;FBAV/238.0.0.41.116;FBBV/171725783;FBDM/%7Bdensity=3.0,width=1080,height=1920%7D;FBLC/en_US;FBRV/0;FBCR/;FBMF/PANASONIC;FBBD/Panasonic;FBPN/com.facebook.katana;FBDV/Eluga_Ray_700;FBSV/7.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 238
35,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860652;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_US;FBRV/174418566;FBCR/Jio%204G;FBMF/motorola;FBBD/motorola;FBPN/com.facebook.katana;FBDV/Moto%20C%20Plus;FBSV/7.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239
36,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1369%7D;FBLC/en_US;FBRV/174418566;FBCR/airtel;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/Redmi%208A%20Dual;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Redmi
37,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1407%7D;FBLC/en_US;FBRV/174418566;FBCR/JIO;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201904;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Vivo
38,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1449%7D;FBLC/en_US;FBRV/0;FBCR/Robi-Stay%20Home;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/M2006C3LG;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Redmi
39,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1456%7D;FBLC/en_US;FBRV/0;FBCR/Vi%20India;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH2015;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239
40,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1456%7D;FBLC/en_US;FBRV/174418566;FBCR/IND%20airtel;FBMF/realme;FBBD/realme;FBPN/com.facebook.katana;FBDV/RMX2027;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239
41,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1470%7D;FBLC/en_US;FBRV/0;FBCR/Airtel;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2029;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Vivo
42,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1470%7D;FBLC/en_US;FBRV/174418566;FBCR/airtel;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2029;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Vivo
43,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.0,width=720,height=1470%7D;FBLC/en_US;FBRV/174418566;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2029;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Vivo
44,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=2.75,width=1080,height=2208%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2022;FBSV/11;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Vivo
45,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=3.0,width=1080,height=2158%7D;FBLC/en_GB;FBRV/0;FBCR/Grameenphone;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH2061;FBSV/11;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239
46,"%5BFBAN/FB4A;FBAV/239.0.0.41.152;FBBV/172860758;FBDM/%7Bdensity=3.0,width=2115,height=1080%7D;FBLC/en_US;FBRV/174418566;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201935;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 239 on Vivo
47,"%5BFBAN/FB4A;FBAV/240.0.0.38.121;FBBV/174075048;FBDM/%7Bdensity=1.5,width=540,height=960%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201606;FBSV/6.0.1;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 240 on Vivo
48,"%5BFBAN/FB4A;FBAV/240.0.0.38.121;FBBV/174075053;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/0;FBCR/;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J210F;FBSV/6.0.1;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 240 on Samsung SM-J210F
49,"%5BFBAN/FB4A;FBAV/242.0.0.43.119;FBBV/176515212;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/178591603;FBCR/Vodafone%20IN;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J701F;FBSV/8.1.0;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 242 on Samsung SM-J701F
50,"%5BFBAN/FB4A;FBAV/242.0.0.43.119;FBBV/176515212;FBDM/%7Bdensity=2.0,width=720,height=1369%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/Xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%208A;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 242 on Redmi
51,"%5BFBAN/FB4A;FBAV/246.0.0.49.121;FBBV/181448462;FBDM/%7Bdensity=2.625,width=1080,height=1920%7D;FBLC/en_GB;FBRV/183119516;FBCR/Jio%204G;FBMF/LeMobile;FBBD/Letv;FBPN/com.facebook.katana;FBDV/Le%20X526;FBSV/6.0.1;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 246
52,"%5BFBAN/FB4A;FBAV/246.0.0.49.121;FBBV/181448462;FBDM/%7Bdensity=3.0,width=1080,height=1920%7D;FBLC/en_US;FBRV/183119516;FBCR/Jio%204G;FBMF/LENOVO;FBBD/Lenovo;FBPN/com.facebook.katana;FBDV/Lenovo%20K8%20Plus;FBSV/8.0.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 246
53,"%5BFBAN/FB4A;FBAV/246.0.0.49.121;FBBV/181448492;FBDM/%7Bdensity=2.75,width=1080,height=2030%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%205%20Pro;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 246 on Redmi
